"Story","Title","Result","Date","Stability","Duration (s)"
"Verify the functionality of television landing page","Show More button shows all available filter options","PENDING","2017-05-14T15:06:08.474+01:00","0.0","9.56"
"Verify the functionality of television landing page","Verify multiple filters","PENDING","2017-05-14T15:05:59.298+01:00","0.0","8.99"
